"contractAddress","ein","entityType","totalEthReceived","recognizedUsdcBalance"
"0x14dc37374aff6e1748451a5ab7f01d865b98214a","null","Fund","0","2418111712944"
"0xa78bfb0e4c75deda7514aff31808b34b0f355654","null","Fund","0","270640375734"
"0x1389ccf4677d6d25a2cf27bcf774a05da2a2bbe8","null","Fund","0","252540880200"
"0x19a72a82253025b032cf13630203a3cabe0c3c3d","null","Fund","0","182992833027"
"0xa635fbe486d2077746a2cbb0d3c3aaa2e6094ff0","null","Fund","0","142384272408"
"0xf2814308b1c1d3d993f0734a95ed919eec43d06a","null","Fund","0","141932398362"
"0xb177344911346493ba2a0edb0bd52818f26d4cf8","null","Fund","13141338698630136974","124513096955"
"0xbb6453a11e39b33c85a8a166919126076ae65981","null","Fund","0","87430120765"
"0x2fcd1365e6ada58e3b680cf4c321efabc5da9dbd","null","Fund","0","82803243500"
"0x8fa2d80045c00cff6d83189c978c879da80e4e06","null","Fund","0","80373728514"
"0x244064a29c0a18dfbc387a9aebc76d425a59aa07","null","Fund","0","70974847139"
"0x8b44a8950cadce0518ed4f53a98f71168f1b6486","null","Fund","0","67957703344"
"0x7a08c31f10f107e359a96ac6aee7f44d0571f5e5","null","Fund","31411872109890109918","64509053803"
"0xeaab0f4a70ff7955f9f95f5fc87e18fe34a73996","null","Fund","0","58994002614"
"0xd1bc4bc9eda40122ea81b2a00f206c11be0cc7fb","null","Fund","36000000000000000","54670889236"
"0xe136adda290e185dc4eacf1888f019370b326ae0","null","Fund","0","52129366397"
"0xc26d4ac854ee9e3f8cb431da656a3ad801d3fa2d","null","Fund","0","48713577273"
"0x3ea86efce45683f413e80c5d1a5738f374958d64","null","Fund","0","44354805403"
"0xf60dc2e9a6d4f22e5d2dfaa1abc6b817d46a0e80","null","Fund","0","39601675137"
"0xc4e6f90374d99ca9ad66712051ec32756e81fca9","null","Fund","0","30620359637"
"0xe1301552333ead470094c45cc37acfa1293afafa","null","Fund","0","29983224463"
"0x397323f939f2dc0314465e197e191779deb00c60","null","Fund","0","23420575906"
"0xf48a766fd530fbd58f3567e5f7b3fa415e4a8e2d","113769438","Org","0","20109650527"
"0x61ee0f669124d62a39af5acf81d6ec303ff4e2c4","990261283","Org","0","17054906278"
"0x06d62c1c01a6be0772c08f2154c4e031d14f74b7","null","Fund","0","12220633915"
"0xbed921347fa2432415e5c2368b2e062f5bf5f4c9","null","Fund","6480000000000000000","10747471485"
"0xebd80472b3a37d4ba8f0230072f8ea492f4631d7","null","Fund","0","5200336996"
"0xc11c65864c42c4c62c4d557ac06a33db7d78f411","null","Fund","0","3353074834"
"0x92ebf374a4c0e0d329c2329c08b0a606ec92aeb5","null","Fund","0","3015465123"
"0x33c6311a12c59ce55603796688789b5822f32765","455257937","Org","1804239963915200695","2962379869"
"0xe435c112772f1f01b7bf5375d64a62c0794fe496","null","Fund","0","1762630393"
"0x7cdc5b0f89227b41d95ad49a66cadd27e5b56b43","null","Fund","0","1699061541"
"0x45e32efc33f3b7c81a92ab564e69db66308fa5ad","null","Fund","1959666348773841962","1383614991"
"0x8fb1e0000586808ed9fd7bac0c735715b59227b5","null","Fund","2300000000000000000","1352235703"
"0xac1225703ba0ecca3df28cbc5eafcd692593a8f1","null","Fund","10000000000000000","1305524373"
"0x6b2ffb06d593e6cbabfc6f16c013e111e5cd8521","472377309","Org","629789770000000000","1034113560"
"0x28caf121dbebe53c067ecab085f310ae3d63161b","030329656","Org","0","990000000"
"0xcbae52b2b5f26c9923845bb1153ad5f12c863913","null","Fund","0","928457989"
"0x23a6b4e16a04fb2a79a7b51861416d8112b7b22a","null","Fund","481500000000000000","862629684"
"0x9c2932c477be504653165b19c8b64a14275e8d00","null","Fund","0","845897537"
"0xcf7f5b64756cd3b8c4f65a7e20f6e686cf153a3d","042535767","Org","5797007999999999999","705085544"
"0xbdc6658a02aadff7e55f1000208c43dcf1a779e3","null","Fund","0","668169978"
"0xa0858a1d516161f59b7938d96c00997e89ce282f","null","Fund","0","660938657"
"0x02ded706270f1035cd61779982d7001d028d47cc","990315110","Org","0","342101522"
"0x41ceaca13a9e4c309fb6f3a91f14385c76760fb4","042103821","Org","0","284210963"
"0x241bcc7dcba51f5165354577282b23e4bc7682d8","null","Fund","0","275724176"
"0x2dcb634251ee8e07d3e4391e11b5c1ac796f9199","null","Fund","0","243349000"
"0xf6f3b6fc2b98602c7250e93c66cd39fd5b2ec68e","null","Fund","0","188138500"
"0x18aed9266ec087e2cefedb0e5773fe8d54f26d21","921465405","Org","0","187660006"
"0x4afd86cf2b3f93b1f9b580768a9c2fc607a56543","null","Fund","0","163066571"
"0xe21e745bbf64240473df293491be0fec955b6d9e","132989233","Org","0","118410518"
"0xc5c35478fa815f248e71682b3492b6a1ef1c0414","990086524","Org","0","96159083"
"0x7ecc1d4936a973ec3b153c0c713e0f71c59abf53","844661797","Org","1000000000000000","95597185"
"0xd7ac9e9c0d09814ac44ce981b6a4c52bff98821d","null","Fund","0","79050000"
"0x55df47117916199db297d3f68d26c87c1bfece7c","null","Fund","0","76418857"
"0xf93e218103d949ed0b38d0d66c9ac434ddbdd061","null","Fund","0","57117806"
"0xa80b1d5987a8561e66cca15cbed7491d06b33d80","471630253","Org","0","35363602"
"0x41a30f40a2abce79d5d0f71ffc9dbcc0f8691cd8","881688760","Org","100000000000000000","30563160"
"0xa143c94cb63b2e046ceaa7577f45cd8845192dce","132992567","Org","95443120000000000","29841921"
"0x224c6ecf8963e3bc3e79491e2a4f8273e957e71e","873334712","Org","0","29807105"
"0x83d9e387d870e0fd9961a0c802579f6039475a4d","null","Fund","2063250000000000000","28453539"
