id,entityType,ein,entityManager,totalUsdcGrantedOut,totalUsdcTransferredOut
0x244064a29c0a18dfbc387a9aebc76d425a59aa07,Fund,,0x5755f00aa02a07ac8a0727ac09042e6750759e1a,5694949042200,0
0x8fa2d80045c00cff6d83189c978c879da80e4e06,Fund,,0x2c4b47668ea298ef4ef98956774ea590e130cefa,941999949000,100000000
0x14dc37374aff6e1748451a5ab7f01d865b98214a,Fund,,0x3e5f2a9c096499c1e90eef78790ad604a8619d88,786134655900,25000000000
0x6feefb18cd412a2a57a5f370d127b48510e472a7,Fund,,0xbe21e4cf884c8b2517e4e199487f8b505841cb36,329355090900,0
0xe3377e1e45af99fef4c1c31aa242c09710415634,Fund,,0x9f4633b29e89e10c869c8ce2197c63df06eb5355,206941986900,0
0x397323f939f2dc0314465e197e191779deb00c60,Fund,,0x39cc9c86e67baf2129b80fe3414c397492ea8026,141178950000,40000000000
0xa78bfb0e4c75deda7514aff31808b34b0f355654,Fund,,0x1b97ebfa8f9600840e08861459f6ccd25a95b8f5,99000000000,0
0xb177344911346493ba2a0edb0bd52818f26d4cf8,Fund,,0xc4bafdc0a6b7c1339055cea9dfd433b28815ae78,91640003400,5000000000
0x308f4020ea765c830f82a58695c809b9651f02f4,Fund,,0xbe21e4cf884c8b2517e4e199487f8b505841cb36,90627292800,0
0x3ea86efce45683f413e80c5d1a5738f374958d64,Fund,,0xf3860788d1597cecf938424baabe976fac87dc26,79330006800,5000000000
0x8b44a8950cadce0518ed4f53a98f71168f1b6486,Fund,,0xbc89166fa7df2e8377c5ede90dc75936ba7aa698,67278117060,0
0xbed921347fa2432415e5c2368b2e062f5bf5f4c9,Fund,,0x6f50b21b6a535530ebea567b5634f5008b0655f2,57953689200,0
0xf2814308b1c1d3d993f0734a95ed919eec43d06a,Fund,,0xa5f05f667a6f65ed98767a6faf6898e3ed85a1ba,55440000000,20000000000
0xad1468a81e5be9ab4c06b37bef65cda551717e76,Fund,,0x9d5025b327e6b863e5050141c987d988c07fd8b2,50051034000,0
0xdcbbe41b6d166678c2c81a1d9e66f15f562d83ae,Fund,,0x9b7a6e6b894e243e994cfaa32ea07d8a60740981,49500000000,30057230000
0x3446f4ea499ecc60cc24caf4d5de106b4851552d,Fund,,0x9d5025b327e6b863e5050141c987d988c07fd8b2,49334006700,0
0xd0f9ac4e64b5934d09f73c3dcaccb298f36547dc,Fund,,0xf523011fc571d67beb53ee108fdeb010d1addbe9,47505447000,0
0x1389ccf4677d6d25a2cf27bcf774a05da2a2bbe8,Fund,,0x3fa0da33ade5c7c8698b8464d2ddd979d84abcfe,43362000000,0
0x8d2a84300d6ce230ed3fffc23dbcdf1e6c781ff0,Fund,,0x9d5025b327e6b863e5050141c987d988c07fd8b2,39649269597,0
0xb962891cb947718b556185a43c6b70c5aceb2c3e,Fund,,0x348b6345bd5c3763c5652723191a66f03e5d8c7d,29369429100,0
0x19a72a82253025b032cf13630203a3cabe0c3c3d,Fund,,0xe03a5189dac8182085e4adf66281f679fff2291d,25791480000,0
0x2dcb634251ee8e07d3e4391e11b5c1ac796f9199,Fund,,0xed8a5bf14442022d8be499bab77a842138bd1183,24750000000,0
0xb76c108b05409e0904fd6a852aaad20ae69e5034,Fund,,0x2eda29709f51537e8004ba45f0d2ee791e452479,22307016600,0
0xbb6453a11e39b33c85a8a166919126076ae65981,Fund,,0xc4baf9b4ce2ae850a7e1ff2a0b796242d0be405d,19998000000,0
0xcbcb64a4c6a2ab29851db2dc217489b632040561,Fund,,0xa9041d250ab1c4561fa4510e66bef13ce908b5d3,18789724800,0
0xc871217c2e0e2ff6f8d88d39cb12b5e96a1a52ca,Fund,,0x2f55e30c6f510d897c27a6e2d4c4e17f189996d5,16665848100,0
0xd1bc4bc9eda40122ea81b2a00f206c11be0cc7fb,Fund,,0x122cdf092aaae90d012e1f294d85e74bb5b8f8b5,14850000000,0
0x2fcd1365e6ada58e3b680cf4c321efabc5da9dbd,Fund,,0x8edea5ec1cae6437b1a7c503d964353415f6d158,13365000000,0
0xe136adda290e185dc4eacf1888f019370b326ae0,Fund,,0x4d42307abb9b2fc8b822d564bc05c505946de1c3,12920014800,0
0x9c2932c477be504653165b19c8b64a14275e8d00,Fund,,0x053c5e4636d87f536e33ac7281d5ca8d2fdb7ae5,12375000000,0
0x7a08c31f10f107e359a96ac6aee7f44d0571f5e5,Fund,,0x47144372eb383466d18fc91db9cd0396aa6c87a4,10890000000,0
0x92ebf374a4c0e0d329c2329c08b0a606ec92aeb5,Fund,,0xd657860fc512ec2250a7385a353f599e3276fddb,9235710000,0
0xebd80472b3a37d4ba8f0230072f8ea492f4631d7,Fund,,0x1e8e749b2b578e181ca01962e9448006772b24a2,9071607600,0
0x241bcc7dcba51f5165354577282b23e4bc7682d8,Fund,,0x9d5025b327e6b863e5050141c987d988c07fd8b2,8265123900,0
0xc11c65864c42c4c62c4d557ac06a33db7d78f411,Fund,,0xee4973e9e323c13a4d70c66293747f3ff481f71e,6930000000,0
0xe816b4b87cdfd9975839d7d29eb9508ff962a530,Fund,,0x87f669c0ee22c42be261dd74143e716748ba11ba,6318516600,0
0xe435c112772f1f01b7bf5375d64a62c0794fe496,Fund,,0x78b037b39704e88a82dd23cfbe1f57f6aef8ebc5,6138000000,0
0xeaab0f4a70ff7955f9f95f5fc87e18fe34a73996,Fund,,0xeb43b5597e3bde0b0c03ee6731ba7c0247e1581e,5940000000,0
0xbdc6658a02aadff7e55f1000208c43dcf1a779e3,Fund,,0x439d5bb45a5d3b349636126e803531f435bc97fc,5940000000,0
