"contractAddress","ein","entityType","totalUsdcContributionsReceived","totalUsdcContributionFees"
"0x8610a565fdb1b0b25ef68931205cf8954cce284e","952872494","Org","1502873954549","15180544995"
"0xf5cb0ac62479ca0ae0aec406e368b3025eecbe0a","941156365","Org","1100030005800","11111414200"
"0xbad1b065bee48425be8bfd425714820b461de607","060646973","Org","1000098990000","10102010000"
"0x7ecc1d4936a973ec3b153c0c713e0f71c59abf53","844661797","Org","1131742023227","12729140958"
"0x83683573dfab0e5bb606174c25ba9e79387a4e5c","866050388","Org","696960211731","7040002138"
"0x49a89ef5bbcde78db646f8d3652493d9c8698184","582277856","Org","601822068814","6079010796"
"0xee6e9f57dd51d96565e1adeefbf1807c302bdebd","042103547","Org","500015003400","5050656600"
"0x0c5c6ac81772e3a1cdd8942af34c32a63b88ba7c","475245280","Org","375017377350","3788182650"
"0x9eeeabf4cc539ef2f6ff1e9bb4adb8dc0bed8f67","464930592","Org","251181117202","2537183002"
"0x47166636eaba7a51550d09cc485dd1864ca5f2c5","521495060","Org","200015006400","2020353600"
"0xbc64c23027aa87e5cc052c5dfa0cc41dba9d2b16","131663143","Org","149999949000","1515151000"
"0x925d0b2315d05aa592ae9e355283d206a0ba30c1","136202692","Org","107941986900","1090323100"
"0x143556c10623cc5335b46b2b49448aa8485e6ce2","522272092","Org","100742668566","1017602712"
"0xb3a72b3d84636a24f1b6d01816f6c478e1d812fe","131837442","Org","79632575976","804369454"
"0xcf7f5b64756cd3b8c4f65a7e20f6e686cf153a3d","042535767","Org","68922826321","751232446"
"0x2eef3329e8880d6ecbb47eb9c0d24fffe5017880","922012298","Org","50015007900","505202100"
"0xf7627f3b5c465c2d276e3bbe995acf5c334aa721","650925102","Org","49500000000","500000000"
"0xe3ffc826e3a1c4b16f57820d2bb6dd347445c4c3","742956081","Org","47949447384","485143501"
"0xf0af3f4ac7a67dd5cfebdd29ea72d13cb6336db5","161717058","Org","45867942204","463312547"
"0x0a74b80b85341f0e187215bdd8e5875fd7e19c1b","846048381","Org","197080501749","2766638249"
"0x52572b0e2965435029fe78b1f09b3d4c088b6cca","980575195","Org","35102548800","354571200"
"0x4836ade1964a37974360c365a42b904573a7bac2","473403988","Org","34904548800","352571200"
"0x6e3d447d8a8fcbd67522f1f71ffdedfa35ee591f","131644147","Org","41062313757","456958635"
"0x8324cd01366f447df493fa44e32ce2a5e0cbd245","135660870","Org","31513285021","318317767"
"0xa296e4d394b7dfe76b384717a7e0a26564f425a2","133433452","Org","108419222943","1492972847"
"0x85728f8baf68aec51aca8627b9ca7a6e3eb1539d","200434850","Org","29700000000","300000000"
"0xbc58786b97c423a734d961a5b2a63c7126523ead","592128991","Org","27530009100","278080900"
"0xa65aaf3097ea72975794159d18d54f78582b2a83","941451515","Org","26829000000","271000000"
"0x0ab351d153d2125530ee6340256df7ae5f7a5bfb","611544791","Org","25381300871","256376776"
"0x04e4265c8afe98268dbc10a5adb0dda5b4719f4a","264546315","Org","25116934906","253706413"
"0xc28aa8ef1643fa7041d29560da6fc7ff74d727e3","911148123","Org","25025517000","252783000"
